Period, group #,player #,player role,decision type,decision,payoff
1,1,0,first,INVEST,0,100
1,1,1,second,RETURN,0,0
1,2,0,first,INVEST,53,67
1,2,1,second,RETURN,20,139
1,3,0,first,INVEST,100,150
1,3,1,second,RETURN,150,150
1,4,0,first,INVEST,31,69
1,4,1,second,RETURN,0,93
1,5,0,first,INVEST,49,51
1,5,1,second,RETURN,0,147
1,6,0,first,INVEST,95,145
1,6,1,second,RETURN,140,145
1,7,0,first,INVEST,100,112
1,7,1,second,RETURN,112,188
1,8,0,first,INVEST,100,150
1,8,1,second,RETURN,150,150
1,9,0,first,INVEST,13,95
1,9,1,second,RETURN,8,31
1,10,0,first,INVEST,100,250
1,10,1,second,RETURN,250,50
1,11,0,first,INVEST,23,110
1,11,1,second,RETURN,33,36
1,12,0,first,INVEST,100,100
1,12,1,second,RETURN,100,200
1,13,0,first,INVEST,48,73
1,13,1,second,RETURN,21,123
1,14,0,first,INVEST,0,100
1,14,1,second,RETURN,0,0
1,15,0,first,INVEST,50,100
1,15,1,second,RETURN,50,100
1,16,0,first,INVEST,30,87
1,16,1,second,RETURN,17,73
1,17,0,first,INVEST,100,75
1,17,1,second,RETURN,75,225
1,18,0,first,INVEST,70,135
1,18,1,second,RETURN,105,105
1,19,0,first,INVEST,25,125
1,19,1,second,RETURN,50,25
